date,time,latitude,longitude,ozone,pm
3/4/2015,19:38:15.0,38.4354695638,-78.8700032552,227,2346.29
3/4/2015,19:38:16.984,38.4354451497,-78.8700032552,207,12406.66
3/4/2015,19:38:19.0,38.4354125977,-78.8700113932,229,4752.54
3/4/2015,19:38:22.0,38.4353597005,-78.8700113932,209,2917.88
3/4/2015,19:38:24.0,38.4353271484,-78.8700113932,109,13378.84
3/4/2015,19:38:26.0,38.4352986654,-78.8700113932,171,11724.16
3/4/2015,19:38:28.0,38.4352661133,-78.8700113932,174,121089.64
3/4/2015,19:38:31.0,38.4352213542,-78.8700195312,220,12414
3/4/2015,19:38:32.984,38.4351928711,-78.8700113932,195,0.62
3/4/2015,19:38:35.0,38.4351684570,-78.8700195312,195,2953.62
3/4/2015,19:38:38.0,38.4351318359,-78.8700276693,189,4800.26
3/4/2015,19:38:40.0,38.4351114909,-78.8700439453,174,5508.99
3/4/2015,19:38:42.0,38.4350952148,-78.8700520833,225,0.62
3/4/2015,19:38:44.984,38.4350545247,-78.8700520833,225,1906.69
3/4/2015,19:38:47.0,38.4350260417,-78.8700602214,238,10718.54
3/4/2015,19:38:48.984,38.4349975586,-78.8700602214,267,2365.07
3/4/2015,19:38:51.0,38.4349812826,-78.8700602214,257,18536.46
3/4/2015,19:38:54.0,38.4349487305,-78.8700520833,247,10267.95
3/4/2015,19:38:56.0,38.4349243164,-78.8700439453,245,0.62
3/4/2015,19:38:58.0,38.4349080404,-78.8700358073,209,0.62
3/4/2015,19:39:0.984,38.4348999023,-78.8700439453,239,0.62
3/4/2015,19:39:3.0,38.4348958333,-78.8700520833,220,0.62
3/4/2015,19:39:4.984,38.4348999023,-78.8700520833,227,0.62
3/4/2015,19:39:7.0,38.4348917643,-78.8700520833,208,0.62
3/4/2015,19:39:10.0,38.4348958333,-78.8700520833,154,0.62
3/4/2015,19:39:12.0,38.4348917643,-78.8700520833,189,13333.26
3/4/2015,19:39:14.0,38.4348917643,-78.8700602214,209,5933.86
3/4/2015,19:39:16.984,38.4348917643,-78.8700602214,228,24355.57
3/4/2015,19:39:19.0,38.4348958333,-78.8700602214,225,0.62
3/4/2015,19:39:20.984,38.4348999023,-78.8700602214,239,29900.23
3/4/2015,19:39:23.0,38.4348999023,-78.8700683594,212,11476.34
3/4/2015,19:39:26.0,38.4348999023,-78.8700683594,291,0.62
3/4/2015,19:39:28.0,38.4348999023,-78.8700683594,197,6107.21
3/4/2015,19:39:30.0,38.4348958333,-78.8700683594,0,26604.47
3/4/2015,19:39:32.984,38.4348958333,-78.8700683594,237,0.62
3/4/2015,19:39:35.0,38.4348917643,-78.8700683594,579,9941.4
3/4/2015,19:39:36.984,38.4348917643,-78.8700683594,201,0.62
3/4/2015,19:39:40.0,38.4348917643,-78.8700683594,226,0.62
3/4/2015,19:39:42.0,38.4348917643,-78.8700683594,197,0.62
3/4/2015,19:39:44.0,38.4348917643,-78.8700683594,251,0.62
3/4/2015,19:39:46.0,38.4348795573,-78.8700683594,225,0.62
3/4/2015,19:39:48.984,38.4348347982,-78.8700846354,277,8310.39
3/4/2015,19:39:51.0,38.4348063151,-78.8701009115,226,2589.83
3/4/2015,19:39:52.984,38.4347778320,-78.8701090495,229,7245.81
3/4/2015,19:39:56.0,38.4347452799,-78.8701171875,244,11514.25
3/4/2015,19:39:58.0,38.4347167969,-78.8701171875,258,2317.67
3/4/2015,19:40:0.0,38.4346923828,-78.8701253255,247,21005.12
3/4/2015,19:40:3.0,38.4346598307,-78.8701171875,264,0.62
3/4/2015,19:40:4.984,38.4346354167,-78.8701334635,246,0.62
3/4/2015,19:40:7.0,38.4346191406,-78.8701416016,252,5472.34
3/4/2015,19:40:8.984,38.4345906576,-78.8701578776,257,131715.9
3/4/2015,19:40:12.0,38.4345540365,-78.8701660156,282,0.62
3/4/2015,19:40:14.0,38.4345296224,-78.8701578776,161,0.62
3/4/2015,19:40:16.0,38.4345092773,-78.8701416016,279,5472.64
3/4/2015,19:40:19.0,38.4344726562,-78.8701334635,254,11493.82
3/4/2015,19:40:20.984,38.4344482422,-78.8701334635,332,0.62
3/4/2015,19:40:23.0,38.4344238281,-78.8701171875,246,0.62
3/4/2015,19:40:24.984,38.4344116211,-78.8700927734,239,2238.31
3/4/2015,19:40:28.0,38.4344034831,-78.8700602214,238,14158.92
3/4/2015,19:40:30.0,38.4343872070,-78.8700276693,225,6365.59
3/4/2015,19:40:32.0,38.4343750000,-78.8700113932,212,59073.36
3/4/2015,19:40:35.0,38.4343709310,-78.8699625651,224,4956.08
3/4/2015,19:40:36.984,38.4343750000,-78.8699218750,228,3500.46
3/4/2015,19:40:39.0,38.4343750000,-78.8698893229,149,0.62
3/4/2015,19:40:40.984,38.4343831380,-78.8698567708,183,0.62
3/4/2015,19:40:44.0,38.4343953451,-78.8698079427,186,10822.82
3/4/2015,19:40:46.0,38.4343953451,-78.8697753906,182,22299.08
3/4/2015,19:40:48.0,38.4344034831,-78.8697347005,246,14081.11
